,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,0.004308843612670898,0.0008751132507386298,0.009799051284790038,0.0021383910312070572,4,{'n_neighbors': 4},-0.0026045686042681327,-0.002924887029832507,-0.002842891981143413,-0.0026301881032353013,-0.0027580777603206817,-0.002752122695760007,0.00012228024849550217,3
4,0.004602909088134766,0.0004915517886712364,0.008303022384643555,0.0003983532437607758,2,{'n_neighbors': 2},-0.002840556782849342,-0.003118300628580609,-0.003045222588842762,-0.0028595884575518685,-0.0031112216039142853,-0.0029949780123477735,0.00012117904553972576,15
5,0.004601335525512696,0.0008013257537695899,0.02312607765197754,0.0024835513434666116,27,{'n_neighbors': 27},-0.0027016127200886982,-0.0031439263350483363,-0.0030555151350629777,-0.002955922017151461,-0.0031220919610929726,-0.002995813633688889,0.00016099278007130767,16
6,0.005305862426757813,0.0006010566255110077,0.017918729782104494,0.00102194185875232,12,{'n_neighbors': 12},-0.0025127289906654205,-0.002935582580957218,-0.0028639790235332535,-0.0027250784900187744,-0.0029480526096509214,-0.0027970843389651177,0.00016278260779417473,5
7,0.004803991317749024,0.00040194127210892025,0.02362790107727051,0.0013931429626826508,24,{'n_neighbors': 24},-0.0026601923967980905,-0.003103580889831142,-0.0030112149081061947,-0.002936247651324743,-0.0030470259368043607,-0.0029516523565729065,0.0001555071121621388,12
8,0.004000186920166016,1.6993074113088094e-06,0.030323123931884764,0.00263859049243736,38,{'n_neighbors': 38},-0.002814801193552103,-0.0032348515159005627,-0.0031785456703286334,-0.003072630533310428,-0.0032024314852547894,-0.003100652079669304,0.0001529260499105742,21
9,0.00511465072631836,0.0009185357460811538,0.018915939331054687,0.004282580734756183,13,{'n_neighbors': 13},-0.0025220901405079016,-0.002949001140550885,-0.0028461867003176182,-0.002748283191894185,-0.0029230921299379987,-0.0027977306606417176,0.00015451148330290762,6
10,0.004399299621582031,0.0004903692578660884,0.030724811553955077,0.001166253098083392,41,{'n_neighbors': 41},-0.0028271023560792596,-0.0032555552868368696,-0.003207511515073334,-0.0030795611851088802,-0.0032318545084893567,-0.0031203169703175404,0.00015872539641938844,22
11,0.005007696151733398,0.0008415593270301096,0.017218589782714844,0.0009273962114132623,14,{'n_neighbors': 14},-0.002543953735249487,-0.0029632613330927236,-0.002858787655261189,-0.002777891154465129,-0.0029255728108239613,-0.0028138933377784984,0.00014897123795081345,7
12,0.004399156570434571,0.0004898041393806754,0.02112860679626465,0.0026945588411890916,17,{'n_neighbors': 17},-0.002571296763685193,-0.0030030285222386434,-0.0029052624885160944,-0.0028519388158200548,-0.0029569954853541506,-0.0028577044151228267,0.00015185662186346149,9
13,0.004600715637207031,0.0008039855636892423,0.03032059669494629,0.000748442932127633,42,{'n_neighbors': 42},-0.0028441503408980556,-0.0032676709902308737,-0.003218224525662648,-0.0030914003980136526,-0.0032356823327745377,-0.003131425717515954,0.0001556248164466339,23
14,0.004205465316772461,0.0006717152089939022,0.022719717025756835,0.00143242184394843,21,{'n_neighbors': 21},-0.002634945283787222,-0.00306773919923763,-0.002989490578193021,-0.0029153044552284366,-0.0030283433904467662,-0.0029271645813786153,0.00015454169983966922,11
15,0.004704523086547852,0.0003983924489875083,0.025024604797363282,0.003482207678707934,27,{'n_neighbors': 27},-0.0027016127200886982,-0.0031439263350483363,-0.0030555151350629777,-0.002955922017151461,-0.0031220919610929726,-0.002995813633688889,0.00016099278007130767,16
16,0.004204320907592774,0.00025070088960102096,0.012407207489013672,0.0019313938222207255,5,{'n_neighbors': 5},-0.0025275919438256717,-0.002875934179494288,-0.002751061899120872,-0.002556659627411006,-0.002800732322427091,-0.0027023959944557857,0.0001370762197744853,1
17,0.0042037487030029295,0.0007516558743199238,0.034123563766479494,0.0028009288587536427,46,{'n_neighbors': 46},-0.0028886464590961343,-0.0033020260990667817,-0.0032378008955596064,-0.0031320883766823506,-0.0032451580043773463,-0.0031611439669564437,0.00014688875889654816,25
18,0.005602788925170898,0.0010195824999391092,0.011512231826782227,0.0007068404006354708,4,{'n_neighbors': 4},-0.0026045686042681327,-0.002924887029832507,-0.002842891981143413,-0.0026301881032353013,-0.0027580777603206817,-0.002752122695760007,0.00012228024849550217,3
19,0.004501533508300781,0.00044495232041480903,0.02522735595703125,0.002559308500778106,24,{'n_neighbors': 24},-0.0026601923967980905,-0.003103580889831142,-0.0030112149081061947,-0.002936247651324743,-0.0030470259368043607,-0.0029516523565729065,0.0001555071121621388,12
20,0.0052070140838623045,0.001477216707443647,0.011507892608642578,0.0005474856784908888,5,{'n_neighbors': 5},-0.0025275919438256717,-0.002875934179494288,-0.002751061899120872,-0.002556659627411006,-0.002800732322427091,-0.0027023959944557857,0.0001370762197744853,1
21,0.004504156112670898,0.000629214526140229,0.01991872787475586,0.0013166752182923443,17,{'n_neighbors': 17},-0.002571296763685193,-0.0030030285222386434,-0.0029052624885160944,-0.0028519388158200548,-0.0029569954853541506,-0.0028577044151228267,0.00015185662186346149,9
22,0.004505681991577149,0.0004471070778012632,0.02892017364501953,0.0007968104005419398,36,{'n_neighbors': 36},-0.002787087025679052,-0.0032260201755630936,-0.0031610158182654724,-0.0030579394036499654,-0.0031933619586475884,-0.003085084876361034,0.00015930586225744914,20
23,0.004406166076660156,0.0005775502642768072,0.028214406967163087,0.0020650815642186482,33,{'n_neighbors': 33},-0.0027694723194837093,-0.003200649496356399,-0.003130903087601854,-0.003036539721778144,-0.0031737056631201154,-0.0030622540576680443,0.00015663321512561664,19
24,0.005004119873046875,0.0006296266680807758,0.018921089172363282,0.0016273197924331845,16,{'n_neighbors': 16},-0.002561260746037957,-0.002974183342374991,-0.002884360456283345,-0.0028317995077503863,-0.00295191796870185,-0.0028407044042297056,0.00014849847811799076,8
