,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.081773805618286,0.1453571962456962,0.02652287483215332,0.0005469057381029601,52,,squared_error,"{'n_estimators': 52, 'max_depth': None, 'criterion': 'squared_error'}",-0.0019288987363374746,-0.0021829904904463932,-0.002280778460445768,-0.00219941999700477,-0.0022423573137359027,-0.0021668889995940617,0.0001237927016731171,3
1,1.882213544845581,0.14117859474531658,0.024019861221313478,0.0014122575043216908,129,4,poisson,"{'n_estimators': 129, 'max_depth': 4, 'criterion': 'poisson'}",-0.003387383033140492,-0.003767538306617121,-0.003781156898625106,-0.0036592842561253796,-0.003669557864955311,-0.0036529840718926817,0.00014171043781597246,14
2,0.478494930267334,0.031077055742268045,0.006710433959960937,0.0031607628623983807,22,6,poisson,"{'n_estimators': 22, 'max_depth': 6, 'criterion': 'poisson'}",-0.0026848146988023352,-0.0029705990016609188,-0.0030658730990178293,-0.002984230705215278,-0.0029591541663415858,-0.0029329343342075894,0.00012959436184724384,8
3,5.279132556915283,0.24097162232572514,0.06336960792541504,0.0062208903001553465,127,,squared_error,"{'n_estimators': 127, 'max_depth': None, 'criterion': 'squared_error'}",-0.0019002513305387198,-0.002193347889554739,-0.002297089474717571,-0.002170938436743385,-0.002247818951782923,-0.0021618892166674676,0.00013797749750996146,2
4,2.364915370941162,0.1844977823781833,0.027625036239624024,0.004765024935762826,139,5,poisson,"{'n_estimators': 139, 'max_depth': 5, 'criterion': 'poisson'}",-0.0030034978192393057,-0.003276916404244254,-0.0033559068275777625,-0.0032898985267930865,-0.003263440863704692,-0.00323793208831182,0.0001214483024662117,12
5,0.03692612648010254,0.0019853363325313092,0.0015025138854980469,0.0004493695011732845,1,,squared_error,"{'n_estimators': 1, 'max_depth': None, 'criterion': 'squared_error'}",-0.003929978628883744,-0.004313308888929692,-0.004272064201522555,-0.0045200353348316775,-0.004392715959883653,-0.004285620602810265,0.00019690165713767054,16
6,2.964673137664795,0.1378597137719966,0.02932276725769043,0.0013633092207403765,127,7,poisson,"{'n_estimators': 127, 'max_depth': 7, 'criterion': 'poisson'}",-0.002477666699344959,-0.0027501988099965465,-0.002855064076367502,-0.002762827391153944,-0.0027685477781316807,-0.002722860950998927,0.00012808579035011262,5
7,6.666175794601441,0.22345177352327628,0.06145906448364258,0.009151210411094636,129,,poisson,"{'n_estimators': 129, 'max_depth': None, 'criterion': 'poisson'}",-0.0019232571807909799,-0.002161119571408165,-0.00223414581109305,-0.0021777554236528667,-0.0022385113955363215,-0.0021469578764962763,0.00011590929778110176,1
8,1.0490182399749757,0.01610725910698838,0.011505937576293946,0.0008956813349731064,21,,poisson,"{'n_estimators': 21, 'max_depth': None, 'criterion': 'poisson'}",-0.002025092287627151,-0.0022734954976711087,-0.0023504669590313806,-0.0022497123820652285,-0.0022939004901585238,-0.0022385335233106782,0.0001118025605024462,4
9,0.41579837799072267,0.023355942465693412,0.01270899772644043,0.0008115618628162639,99,1,squared_error,"{'n_estimators': 99, 'max_depth': 1, 'criterion': 'squared_error'}",-0.012755814611134895,-0.014352046394829013,-0.013115060006445791,-0.013253314427369215,-0.01302922578639784,-0.013301092245235352,0.0005500244372731603,20
10,0.4750342845916748,0.016094487738762275,0.013008451461791993,0.0003152734136541348,120,1,squared_error,"{'n_estimators': 120, 'max_depth': 1, 'criterion': 'squared_error'}",-0.012812344017099294,-0.014339173551500222,-0.013028760660885175,-0.01340609254378829,-0.013022250303472717,-0.01332172421534914,0.0005435626221486675,21
11,0.7083295345306396,0.026760883056736334,0.01041569709777832,0.00048500144614729276,52,5,squared_error,"{'n_estimators': 52, 'max_depth': 5, 'criterion': 'squared_error'}",-0.0029692599717721386,-0.003261863547917961,-0.0033225829883174124,-0.0032290098118520094,-0.0032514760803957704,-0.003206838480051059,0.00012276170429085463,10
12,0.5367629051208496,0.03671591043814743,0.014809179306030273,0.0015077740643172522,127,1,squared_error,"{'n_estimators': 127, 'max_depth': 1, 'criterion': 'squared_error'}",-0.012784740970762537,-0.014269948986747036,-0.01308674929084862,-0.013243054419497241,-0.013012881761469508,-0.013279475085864986,0.0005167866272631871,19
13,2.17411208152771,0.12184785998672033,0.03342471122741699,0.010128696533407857,120,5,poisson,"{'n_estimators': 120, 'max_depth': 5, 'criterion': 'poisson'}",-0.0029872392925490514,-0.0032782327329957486,-0.0033546416849655593,-0.003306950398684358,-0.0032579615718608523,-0.003237005136211114,0.0001290368636764765,11
14,0.580931282043457,0.027640897102881548,0.011011505126953125,0.0067703362111746586,52,3,poisson,"{'n_estimators': 52, 'max_depth': 3, 'criterion': 'poisson'}",-0.004104875629170851,-0.004380780680878828,-0.004661322229740845,-0.004255898523274185,-0.004164355343677287,-0.004313446481348399,0.00019727806058183697,17
15,0.43412437438964846,0.019490406581348818,0.005308341979980469,0.0005090223017546968,21,6,poisson,"{'n_estimators': 21, 'max_depth': 6, 'criterion': 'poisson'}",-0.002710367436486882,-0.0029555295819491266,-0.0030483942637079212,-0.002969025428370298,-0.0029851962693732887,-0.0029337025959775033,0.00011611071467882065,9
16,0.6823875904083252,0.04937544725285168,0.01360774040222168,0.0004945863179348982,129,1,poisson,"{'n_estimators': 129, 'max_depth': 1, 'criterion': 'poisson'}",-0.01382925819120756,-0.014554073179759638,-0.014372387238425368,-0.013658814010970622,-0.013862338546916046,-0.014055374233455847,0.0003449200299378887,22
