,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0036022186279296873,0.0004912104003839443,0.01460404396057129,0.0018563853922726452,12,{'n_neighbors': 12},-0.0025127289906654205,-0.002935582580957218,-0.0028639790235332535,-0.0027250784900187744,-0.0029480526096509214,-0.0027970843389651177,0.00016278260779417473,4
1,0.004200363159179687,0.0004005937487647479,0.01591458320617676,0.0043163324387467785,7,{'n_neighbors': 7},-0.0024758809751150327,-0.002878169830296501,-0.0027955933272250486,-0.0025748474638577594,-0.002811751749454953,-0.0027072486691898587,0.00015427300783817314,3
2,0.0045989036560058595,0.0004906052922347956,0.02391328811645508,0.0017438982503630179,27,{'n_neighbors': 27},-0.0027016127200886982,-0.0031439263350483363,-0.0030555151350629777,-0.002955922017151461,-0.0031220919610929726,-0.002995813633688889,0.00016099278007130767,14
3,0.004501867294311524,0.0007751169278862685,0.024206161499023438,0.0011181348310338143,28,{'n_neighbors': 28},-0.0027089809807572737,-0.0031499285812990304,-0.0030733837556760684,-0.0029652651715641955,-0.0031321781371788796,-0.003005947325295089,0.00016189906702151102,15
4,0.004400014877319336,0.0004910534482095175,0.01920003890991211,0.002713773104457625,12,{'n_neighbors': 12},-0.0025127289906654205,-0.002935582580957218,-0.0028639790235332535,-0.0027250784900187744,-0.0029480526096509214,-0.0027970843389651177,0.00016278260779417473,4
5,0.00579991340637207,0.0031246580767699127,0.022799348831176756,0.0021356005069734342,24,{'n_neighbors': 24},-0.0026601923967980905,-0.003103580889831142,-0.0030112149081061947,-0.002936247651324743,-0.0030470259368043607,-0.0029516523565729065,0.0001555071121621388,13
6,0.004799985885620117,0.0015994790654556856,0.012600374221801759,0.0018546873590048968,6,{'n_neighbors': 6},-0.0024828378064441583,-0.002885569666259133,-0.0027544189987834776,-0.0025645049280006494,-0.0027620358307107067,-0.002689873446039625,0.0001457748744651298,1
7,0.00399932861328125,2.2698650809119996e-06,0.027202558517456055,0.003968555739289182,30,{'n_neighbors': 30},-0.002725764157151418,-0.003170957988872819,-0.0030961876796560574,-0.002992364147190729,-0.003148277002145778,-0.0030267101950033604,0.0001625799521514283,17
8,0.004401683807373047,0.0010205846297291347,0.018799018859863282,0.0013255709224622042,18,{'n_neighbors': 18},-0.002578294574961821,-0.003012310834947525,-0.0029191873785227337,-0.0028568861617645825,-0.002983015427815796,-0.0028699388756024914,0.00015537584621993047,7
9,0.00419769287109375,0.00039670669628627097,0.029907989501953124,0.007341981540786688,35,{'n_neighbors': 35},-0.0027739449474016224,-0.0032186089866943816,-0.0031604321864576804,-0.003054897092588598,-0.003190852391915934,-0.0030797471210116433,0.00016264659359905296,19
10,0.004997825622558594,0.0006322708530809678,0.026708078384399415,0.0039994909990983185,28,{'n_neighbors': 28},-0.0027089809807572737,-0.0031499285812990304,-0.0030733837556760684,-0.0029652651715641955,-0.0031321781371788796,-0.003005947325295089,0.00016189906702151102,15
11,0.0054015636444091795,0.0013590259328601125,0.02280726432800293,0.004860535886613572,18,{'n_neighbors': 18},-0.002578294574961821,-0.003012310834947525,-0.0029191873785227337,-0.0028568861617645825,-0.002983015427815796,-0.0028699388756024914,0.00015537584621993047,7
12,0.004598236083984375,0.0008002405099747064,0.03251357078552246,0.0023470022260626043,41,{'n_neighbors': 41},-0.0028271023560792596,-0.0032555552868368696,-0.003207511515073334,-0.0030795611851088802,-0.0032318545084893567,-0.0031203169703175404,0.00015872539641938844,21
13,0.004799652099609375,0.0011665558816927179,0.021408939361572267,0.0017150457399719027,18,{'n_neighbors': 18},-0.002578294574961821,-0.003012310834947525,-0.0029191873785227337,-0.0028568861617645825,-0.002983015427815796,-0.0028699388756024914,0.00015537584621993047,7
14,0.004399824142456055,0.0004873160838658996,0.03490877151489258,0.0028506096159134366,48,{'n_neighbors': 48},-0.0029030063937167064,-0.0033100241448024816,-0.0032538358265922353,-0.003141776642971066,-0.003256401514074307,-0.003173008904431359,0.0001456964685441333,24
15,0.004805946350097656,0.0006829992578029176,0.007001352310180664,3.4825438759823254e-06,1,{'n_neighbors': 1},-0.0035471438723323665,-0.0038593794358143326,-0.0038268799387745018,-0.0037631892054650245,-0.00414231131360194,-0.003827780753197633,0.00019123696744001285,25
16,0.005202102661132813,0.0004000553327361699,0.012400388717651367,0.0008009085429333022,6,{'n_neighbors': 6},-0.0024828378064441583,-0.002885569666259133,-0.0027544189987834776,-0.0025645049280006494,-0.0027620358307107067,-0.002689873446039625,0.0001457748744651298,1
17,0.005602598190307617,0.0004906710660516886,0.03770160675048828,0.010122953387802011,41,{'n_neighbors': 41},-0.0028271023560792596,-0.0032555552868368696,-0.003207511515073334,-0.0030795611851088802,-0.0032318545084893567,-0.0031203169703175404,0.00015872539641938844,21
18,0.008200550079345703,0.005382674078717671,0.028504419326782226,0.0031981900650030924,30,{'n_neighbors': 30},-0.002725764157151418,-0.003170957988872819,-0.0030961876796560574,-0.002992364147190729,-0.003148277002145778,-0.0030267101950033604,0.0001625799521514283,17
19,0.004198265075683594,0.00040033503640262243,0.03360133171081543,0.0030086246357216594,45,{'n_neighbors': 45},-0.0028809030439364727,-0.0032902974157326373,-0.0032336640571551637,-0.003124308234072751,-0.003244848144105648,-0.0031548041790005346,0.00014740220329491365,23
20,0.004398775100708008,0.0004901196054598339,0.02300267219543457,0.0030311869854991458,22,{'n_neighbors': 22},-0.002643814540412683,-0.0030838663099723804,-0.002997934293409175,-0.0029095888599162136,-0.0030432085852887163,-0.0029356825177998336,0.00015701170034401247,10
21,0.009202337265014649,0.009412652980041052,0.030715370178222658,0.004570347104333359,36,{'n_neighbors': 36},-0.002787087025679052,-0.0032260201755630936,-0.0031610158182654724,-0.0030579394036499654,-0.0031933619586475884,-0.003085084876361034,0.00015930586225744914,20
22,0.004397439956665039,0.0004900408264174759,0.020917797088623048,0.0034907533350527317,12,{'n_neighbors': 12},-0.0025127289906654205,-0.002935582580957218,-0.0028639790235332535,-0.0027250784900187744,-0.0029480526096509214,-0.0027970843389651177,0.00016278260779417473,4
